subject_id,condition,goal_percent,trial,mtrigger_average_peak,delsys_amplitude
1,MTR20,20,1,1070.52,1.0067121117712912
1,MTR40,40,1,1282.77,1.5028848315374344
5,MTR20,20,1,1733.28,0.2232560851967148
5,MTR20,20,2,1698.31,0.1954857875235533
5,MTR40,40,2,1805.13,0.2344348697452662
5,MTR60,60,1,1859.15,0.2117521935856302
5,MTR60,60,2,1845.92,0.2803317259494552
5,MTR80,80,1,1606.66,0.2709413189009217
5,MTR80,80,2,1626.83,0.241891173291379
6,MTR20,20,1,1646.0,0.9884711194936228
6,MTR20,20,2,1374.5,1.1077733341120244
6,MTR40,40,1,1382.0,0.9639830361559694
6,MTR40,40,2,1359.0,1.0598348824941408
6,MTR60,60,1,1367.12,1.022149710661726
6,MTR60,60,2,1419.71,0.9944890749103276
6,MTR80,80,1,1322.67,1.003484204788634
6,MTR80,80,2,1367.1,1.0657028557760737
7,MTR40,40,1,894.0,0.5158390307920875
7,MTR40,40,2,841.0,0.4107364381327137
7,MTR60,60,2,1683.78,0.5986797289706347
7,MTR60,60,3,1782.68,0.6025895326345051
7,MTR80,80,1,1978.97,0.6800614266633983
7,MTR80,80,2,2040.4,0.6731385761958363
8,MTR20,20,1,1741.31,0.4508928442302272
8,MTR20,20,2,1663.48,0.449053320472476
8,MTR40,40,1,1385.96,0.5717722656810721
8,MTR40,40,2,1345.87,0.544926377452422
8,MTR60,60,1,1497.77,0.6695396758875805
8,MTR60,60,2,1485.75,0.6523606679082316
8,MTR80,80,1,1415.33,0.6876612771617507
8,MTR80,80,2,1487.52,0.6992259379660009
9,MTR20,20,1,676.94,1.339816792250983
9,MTR20,20,2,704.53,1.3312351028078049
9,MTR40,40,1,901.77,1.4507110599734732
9,MTR40,40,2,897.15,1.275038894248488
9,MTR60,60,1,992.17,1.7964593765478811
9,MTR60,60,2,1012.78,1.6647626593703702
9,MTR80,80,1,1480.6,1.8240286067706208
9,MTR80,80,2,1398.07,1.82889101293026
10,MTR20,20,1,602.38,0.2998281513660017
10,MTR20,20,2,524.36,0.2778116067190841
10,MTR40,40,1,572.58,0.3159649130901241
10,MTR40,40,2,581.72,0.3111434642082166
10,MTR60,60,3,889.17,0.419415741249378
10,MTR80,80,1,811.39,0.4970352906112683
10,MTR80,80,2,838.89,0.477345937994316
11,MTR20,20,1,1220.97,1.8217201131000096
11,MTR20,20,2,1048.15,1.7242662813942538
11,MTR40,40,1,1153.57,1.8795588456478665
11,MTR40,40,2,1175.93,1.7778728534242254
11,MTR60,60,1,1190.88,2.111772932199412
11,MTR60,60,2,1173.46,1.985402158078654
11,MTR80,80,1,1329.9,2.327637576143912
11,MTR80,80,2,1447.53,2.3656050779975
12,MTR20,20,1,629.64,0.3654451830132131
12,MTR20,20,2,666.61,0.4653951074198293
12,MTR40,40,1,666.3,0.4281306496927491
12,MTR40,40,2,675.84,0.4226651650844183
12,MTR60,60,1,760.58,0.5040151110064168
12,MTR60,60,2,680.34,0.4605602497000591
13,MTR20,20,1,984.09,1.5826510374866458
13,MTR20,20,2,988.37,1.7115458015120872
13,MTR40,40,1,1361.83,1.861559639157861
13,MTR40,40,2,1355.59,1.9344325133738545
13,MTR60,60,1,1336.79,1.9836181779283544
13,MTR60,60,2,1469.55,2.153039843361212
13,MTR80,80,1,1571.64,2.1848271389563325
13,MTR80,80,2,1549.12,1.974691799970084
14,MTR20,20,1,936.64,0.8491470177442879
14,MTR20,20,2,898.4,0.6664360283623303
14,MTR40,40,1,1110.72,0.922290894566526
14,MTR60,60,1,1330.54,1.2967255653420182
14,MTR60,60,2,1347.79,1.227759440744251
14,MTR80,80,1,1329.7,1.170610140409465
14,MTR80,80,2,1356.69,1.0587503487399232
15,MTR20,20,1,688.77,0.2778209727025408
15,MTR20,20,2,688.15,0.3224171654270368
15,MTR40,40,1,743.26,0.339705740620991
15,MTR60,60,1,803.32,0.3126288250884905
15,MTR60,60,2,804.42,0.3141287252537487
15,MTR80,80,1,788.2,0.3884167661367087
15,MTR80,80,2,743.32,0.3456309561426066
16,MTR20,20,1,1335.86,2.20608732827424
16,MTR20,20,2,1425.88,2.031597230999156
16,MTR40,40,1,1376.76,1.9624686273542693
16,MTR40,40,2,1439.86,1.934246815233039
16,MTR60,60,1,1629.34,2.1673572829793533
16,MTR80,80,1,1503.06,1.975476714753849
16,MTR80,80,2,1642.38,1.9541046811275256
17,MTR20,20,1,1516.02,2.152294068055842
17,MTR20,20,2,1353.64,1.8075808849854649
17,MTR40,40,1,1635.74,2.048007973212476
17,MTR40,40,2,1619.38,1.8505058442681168
17,MTR60,60,1,1854.0,2.05782313322715
17,MTR60,60,2,1794.95,1.9269229113284487
17,MTR80,80,1,1834.14,1.9844336016975488
17,MTR80,80,2,1855.53,2.0332135219192327
18,MTR20,20,1,1079.56,1.7399652485263566
18,MTR40,40,1,1324.78,1.5689971854208606
18,MTR40,40,2,1267.92,1.5826471289173558
18,MTR60,60,1,1446.61,2.2274485480166613
18,MTR60,60,2,1419.03,2.3308277027604065
18,MTR80,80,1,1665.0,2.262767321330914
18,MTR80,80,2,1629.23,2.216124044575046
19,MTR20,20,1,2214.96,1.8541516616753264
19,MTR20,20,2,2219.17,1.7949460283127605
19,MTR40,40,1,1885.23,1.680654865419307
19,MTR40,40,2,1810.58,1.7220633085724557
19,MTR60,60,1,1899.3,1.665392172767034
19,MTR60,60,2,1977.5,1.7171677363718614
19,MTR80,80,1,2181.97,2.10047121873474
19,MTR80,80,2,2141.9,2.064557070396769
20,MTR20,20,1,1899.21,1.1589355166766533
20,MTR20,20,2,1614.08,0.9989921352112916
20,MTR40,40,1,1843.56,1.01437760186171
20,MTR40,40,2,1773.97,1.0008562565820576
20,MTR60,60,1,1804.65,1.066713715919961
20,MTR60,60,2,1696.81,0.9609401605764124
20,MTR80,80,1,1893.35,1.07214957858324
20,MTR80,80,2,1764.42,1.0364491068305688
22,MTR20,20,1,1074.71,0.5221221389903679
22,MTR20,20,2,1122.4,0.5196331108671809
22,MTR40,40,1,1088.04,0.551177008724181
22,MTR60,60,1,1166.5,0.6608481104155707
22,MTR60,60,2,1092.19,0.6220976915373069
22,MTR80,80,1,1194.56,0.6345949042900761
22,MTR80,80,2,1149.59,0.6083259754886899
23,MTR20,20,1,638.32,0.2527713323540441
23,MTR20,20,2,643.11,0.2416292991694173
23,MTR40,40,1,619.72,0.2518395486715514
23,MTR40,40,2,597.64,0.2254791147387089
23,MTR60,60,1,585.42,0.2110411498989993
23,MTR60,60,2,586.45,0.2205493189492045
23,MTR80,80,1,801.41,0.3025471479732731
23,MTR80,80,2,787.86,0.3042934589502873
24,MTR20,20,1,7146.58,0.7333571750768524
24,MTR20,20,2,6492.2,0.7539635459073001
24,MTR40,40,1,4476.86,0.656350491115442
24,MTR40,40,2,5343.63,0.7434335872831401
24,MTR60,60,1,4897.69,0.7665669641859568
24,MTR60,60,2,3817.91,0.7038426442383843
24,MTR80,80,1,4438.34,0.7565398860148681
24,MTR80,80,2,3874.16,0.6668485384190843
